DATE;Heure;ana1
02-09-2024;05:23:17;22.81
02-09-2024;05:55:37;22.71
02-09-2024;06:27:58;22.62
02-09-2024;07:00:18;22.53
02-09-2024;07:32:39;22.44
02-09-2024;08:05:00;22.25
02-09-2024;08:37:20;22.35
02-09-2024;09:09:41;22.71
02-09-2024;09:42:01;23.18
02-09-2024;10:14:22;23.45
02-09-2024;10:46:45;23.64
02-09-2024;11:19:06;23.82
02-09-2024;11:51:28;24.19
02-09-2024;12:23:50;24.47
02-09-2024;12:56:12;24.84
02-09-2024;13:28:35;25.12
02-09-2024;14:00:59;25.40
02-09-2024;14:33:22;25.59
02-09-2024;15:05:45;25.78
02-09-2024;15:38:09;25.96
02-09-2024;16:10:32;26.15
02-09-2024;16:42:56;26.24
02-09-2024;17:15:21;26.34
02-09-2024;17:47:45;26.34
02-09-2024;18:20:09;26.34
02-09-2024;18:52:33;26.34
02-09-2024;19:24:56;26.34
02-09-2024;19:57:20;26.15
02-09-2024;20:29:45;25.78
02-09-2024;21:02:08;25.50
02-09-2024;21:34:31;25.40
02-09-2024;22:06:54;25.22
02-09-2024;22:39:17;25.12
02-09-2024;23:11:41;24.94
02-09-2024;23:44:03;24.84
03-09-2024;00:16:26;24.84
03-09-2024;00:48:48;24.75
03-09-2024;01:21:11;24.66
03-09-2024;01:53:34;24.57
03-09-2024;02:25:56;24.57
03-09-2024;02:58:19;24.47
03-09-2024;03:30:41;24.47
03-09-2024;04:03:03;24.38
03-09-2024;04:35:25;24.29
03-09-2024;05:07:48;24.19
03-09-2024;05:40:10;24.10
03-09-2024;06:12:32;24.10
03-09-2024;06:44:54;24.01
03-09-2024;07:17:15;24.01
03-09-2024;07:49:38;24.10
03-09-2024;08:22:00;24.29
03-09-2024;08:54:22;24.29
03-09-2024;09:26:44;24.19
03-09-2024;09:59:06;23.92
03-09-2024;10:31:28;23.73
03-09-2024;11:03:50;23.55
03-09-2024;11:36:11;23.55
03-09-2024;12:08:33;23.73
03-09-2024;12:40:54;23.92
