DATE;Heure;temp_int;temp_consigne;puissance;mode
21-11-2016;23:10:01;20.4;0.0;0;1
21-11-2016;23:15:01;20.4;0.0;0;1
21-11-2016;23:20:01;20.4;0.0;0;1
21-11-2016;23:25:01;20.4;0.0;0;1
21-11-2016;23:30:02;20.4;0.0;0;1
21-11-2016;23:35:01;20.4;0.0;0;1
21-11-2016;23:40:01;20.4;0.0;0;1
21-11-2016;23:45:01;20.4;0.0;0;1
21-11-2016;23:50:02;20.3;0.0;0;1
21-11-2016;23:55:01;20.3;0.0;0;1
22-11-2016;00:00:02;20.3;0.0;0;1
22-11-2016;00:05:01;20.3;0.0;0;1
22-11-2016;00:10:02;20.3;0.0;0;1
22-11-2016;00:15:02;20.2;0.0;0;1
22-11-2016;00:20:01;20.2;0.0;0;1
22-11-2016;00:25:01;20.2;0.0;0;1
22-11-2016;00:30:01;20.2;0.0;0;1
22-11-2016;00:35:01;20.2;0.0;0;1
22-11-2016;00:40:01;20.2;0.0;0;1
22-11-2016;00:45:01;20.1;0.0;0;1
22-11-2016;00:50:02;20.1;0.0;0;1
22-11-2016;00:55:01;20.1;0.0;0;1
22-11-2016;01:00:01;20.1;0.0;0;1
22-11-2016;01:05:01;20.1;0.0;0;1
22-11-2016;01:10:01;20.0;0.0;0;1
22-11-2016;01:15:01;20.0;0.0;0;1
22-11-2016;01:20:01;20.0;0.0;0;1
22-11-2016;01:25:01;20.0;0.0;0;1
22-11-2016;01:30:01;20.0;0.0;0;1
22-11-2016;01:35:01;19.9;0.0;0;1
22-11-2016;01:40:01;19.9;0.0;0;1
22-11-2016;01:45:01;19.9;0.0;0;1
22-11-2016;01:50:02;19.9;0.0;0;1
22-11-2016;01:55:01;19.9;0.0;0;1
22-11-2016;02:00:02;19.9;20.5;75;2
22-11-2016;02:05:01;19.8;20.5;1;2
22-11-2016;02:10:02;19.8;20.5;1;2
22-11-2016;02:15:01;19.8;20.5;1;2
22-11-2016;02:20:01;19.8;20.5;1;2
22-11-2016;02:25:01;19.8;20.5;1;2
22-11-2016;02:30:01;19.8;20.5;1;2
22-11-2016;02:35:01;19.8;20.5;1;2
22-11-2016;02:40:01;19.8;20.5;1;2
22-11-2016;02:45:01;19.8;20.5;1;2
22-11-2016;02:50:01;19.8;20.5;1;2
