DATE;Heure;ana1 * 445.254
04-05-2013;08:12:04;80.146
04-05-2013;09:30:01;507.590
04-05-2013;10:03:26;645.618
04-05-2013;11:04:45;298.320
04-05-2013;12:06:06;966.201
04-05-2013;13:13:04;1108.682
04-05-2013;14:20:04;418.539
04-05-2013;14:31:14;1255.616
04-05-2013;15:10:20;1122.040
04-05-2013;16:11:47;244.890
04-05-2013;17:02:05;819.267
04-05-2013;18:09:07;543.210
04-05-2013;19:21:44;258.247
04-05-2013;20:28:45;22.263
04-05-2013;21:18:58;0.000
04-05-2013;22:09:10;0.000
04-05-2013;23:04:55;0.000
04-05-2013;23:38:23;0.000
05-05-2013;00:06:16;0.000
05-05-2013;01:07:34;0.000
05-05-2013;02:03:19;0.000
05-05-2013;03:15:46;0.000
05-05-2013;04:00:21;0.000
05-05-2013;05:01:37;0.000
05-05-2013;06:08:27;0.000
05-05-2013;07:15:17;17.810
05-05-2013;08:16:34;22.263
05-05-2013;09:06:42;40.073
05-05-2013;10:08:01;712.406
05-05-2013;11:03:50;894.961
05-05-2013;12:44:22;1126.493
05-05-2013;13:01:07;872.698
05-05-2013;14:30:31;1122.040
05-05-2013;15:43:13;988.464
05-05-2013;16:11:11;926.128
05-05-2013;17:23:55;743.574
05-05-2013;18:03:05;605.545
05-05-2013;19:15:49;329.488
05-05-2013;20:11:45;106.861
05-05-2013;21:24:22;0.000
05-05-2013;22:03:26;0.000
05-05-2013;23:04:49;0.000
05-05-2013;23:38:17;0.000
06-05-2013;00:11:45;0.000
06-05-2013;01:01:56;13.358
06-05-2013;02:03:17;0.000
06-05-2013;04:05:56;0.000
06-05-2013;05:57:25;0.000
06-05-2013;06:08:33;0.000
06-05-2013;07:09:50;0.000
06-05-2013;09:23:37;31.168
06-05-2013;10:24:59;797.005
06-05-2013;11:43:09;988.464
06-05-2013;12:05:31;1024.084
06-05-2013;13:07:01;1090.872
06-05-2013;13:29:24;1122.040
06-05-2013;14:02:59;1113.135
06-05-2013;15:10:10;1064.157
06-05-2013;16:11:46;943.938
06-05-2013;18:26:11;529.852
06-05-2013;19:16:34;142.481
06-05-2013;20:01:19;53.430
06-05-2013;21:08:22;0.000
06-05-2013;21:41:51;0.000
06-05-2013;22:04:10;0.000
06-05-2013;23:16:42;0.000
07-05-2013;00:12:31;13.358
07-05-2013;01:02:45;0.000
07-05-2013;02:09:43;0.000
07-05-2013;03:16:40;0.000
07-05-2013;04:06:52;0.000
07-05-2013;05:02:40;0.000
07-05-2013;06:04:00;0.000
07-05-2013;07:10:55;22.263
07-05-2013;08:06:39;80.146
07-05-2013;09:02:25;89.051
07-05-2013;10:03:46;267.152
07-05-2013;11:05:09;391.824
07-05-2013;12:00:57;347.298
07-05-2013;13:35:52;391.824
07-05-2013;14:09:22;365.108
07-05-2013;14:54:05;707.954
07-05-2013;15:05:15;342.846
07-05-2013;16:23:29;298.320
07-05-2013;17:13:46;369.561
07-05-2013;18:04:04;271.605
07-05-2013;19:05:32;160.291
07-05-2013;20:18:10;22.263
07-05-2013;21:02:50;0.000
07-05-2013;22:20:59;0.000
07-05-2013;23:05:38;8.905
07-05-2013;23:55:51;0.000
08-05-2013;00:01:25;0.000
08-05-2013;01:08:21;0.000
08-05-2013;02:04:08;22.263
08-05-2013;03:05:29;13.358
08-05-2013;04:01:16;0.000
08-05-2013;05:02:38;0.000
08-05-2013;06:03:59;0.000
08-05-2013;07:05:20;8.905
08-05-2013;08:12:15;62.336
08-05-2013;09:13:37;146.934
08-05-2013;10:09:27;716.859
08-05-2013;11:27:44;988.464
08-05-2013;12:01:18;578.830
08-05-2013;13:14:02;454.159
08-05-2013;14:04:25;770.289
08-05-2013;15:39:33;494.232
08-05-2013;16:07:32;240.437
08-05-2013;17:20:09;75.693
08-05-2013;18:10:24;31.168
08-05-2013;19:00:37;40.073
08-05-2013;20:07:33;26.715
08-05-2013;21:03:19;44.525
08-05-2013;22:10:15;0.000
08-05-2013;23:06:02;0.000
08-05-2013;23:33:55;0.000
09-05-2013;00:07:24;13.358
09-05-2013;01:03:10;0.000
09-05-2013;02:04:31;4.453
09-05-2013;03:05:52;0.000
09-05-2013;04:07:12;4.453
09-05-2013;05:02:57;13.358
09-05-2013;06:04:17;0.000
09-05-2013;07:00:02;4.453
09-05-2013;08:01:21;89.051
09-05-2013;09:08:15;489.779
09-05-2013;10:09:38;561.020
09-05-2013;11:05:28;191.459
09-05-2013;12:12:27;102.408
09-05-2013;13:19:26;146.934
09-05-2013;14:09:40;249.342
09-05-2013;15:22:15;93.503
09-05-2013;16:40:23;253.795
09-05-2013;17:13:53;169.197
09-05-2013;18:15:17;97.956
09-05-2013;19:05:30;35.620
09-05-2013;20:06:52;0.000
09-05-2013;21:08:13;13.358
09-05-2013;22:03:56;0.000
09-05-2013;23:05:15;0.000
09-05-2013;23:44:15;0.000
10-05-2013;00:12:07;0.000
10-05-2013;01:18:58;0.000
10-05-2013;02:03:31;4.453
10-05-2013;03:04:47;0.000
