DATE;heure;consoHP;consoHC
01-11-2011;00:00:01;1.17;0.64
02-11-2011;00:00:01;0.76;0.96
03-11-2011;00:00:01;0.8;0.64
04-11-2011;00:00:01;0.43;0.25
06-11-2011;00:00:01;0.38;0.44
07-11-2011;00:00:01;1.12;0.96
08-11-2011;00:00:01;0.69;0.3
09-11-2011;00:00:01;0.48;0.4
10-11-2011;00:00:01;1.11;0.73
11-11-2011;00:00:01;1.59;0.74
12-11-2011;00:00:01;1.25;0.89
13-11-2011;00:00:01;1.34;0.47
14-11-2011;00:00:01;0.29;0.37
15-11-2011;00:00:01;0.92;0.61
16-11-2011;00:00:01;1.07;0.67
17-11-2011;00:00:01;0.93;0.63
18-11-2011;00:00:01;1.06;0.65
19-11-2011;00:00:01;1.36;0.85
20-11-2011;00:00:01;1.23;1.2
21-11-2011;00:00:01;0.99;0.92
22-11-2011;00:00:01;0.91;0.71
23-11-2011;00:00:01;0.88;0.85
24-11-2011;00:00:01;1;0.85
25-11-2011;00:00:01;0.74;0.71
26-11-2011;00:00:01;1.36;0.83
27-11-2011;00:00:01;1.74;0.73
28-11-2011;00:00:01;0.94;1.25
29-11-2011;00:00:01;0.93;1.1
30-11-2011;00:00:01;0.89;0.95
01-12-2011;00:00:01;1.05;0.7
02-12-2011;00:00:01;0.78;0.84
03-12-2011;00:00:01;1.74;0.75
04-12-2011;00:00:01;0.89;0.84
05-12-2011;00:00:01;0.74;0.85
06-12-2011;00:00:01;1.06;1.04
07-12-2011;00:00:01;0.81;1.33
08-12-2011;00:00:01;1.2;0.6
09-12-2011;00:00:01;0.84;0.69
10-12-2011;00:00:01;1.59;0.88
11-12-2011;00:00:01;1.39;0.88
12-12-2011;00:00:01;0.85;1.16
13-12-2011;00:00:01;0.84;0.72
14-12-2011;00:00:01;0.82;0.95
15-12-2011;00:00:01;1.06;0.85
16-12-2011;00:00:01;0.95;0.74
17-12-2011;00:00:01;1.47;0.79
18-12-2011;00:00:01;2.14;1.16
19-12-2011;00:00:01;1.12;1.4
20-12-2011;00:00:01;1.04;0.94
21-12-2011;00:00:01;0.95;1.2
22-12-2011;00:00:01;1.33;0.97
23-12-2011;00:00:01;1.25;1.29
24-12-2011;00:00:01;2.16;1.07
25-12-2011;00:00:01;1.79;1.78
26-12-2011;00:00:01;1.88;1.98
27-12-2011;00:00:01;1.2;1.5
28-12-2011;00:00:01;1.48;0.88
29-12-2011;00:00:01;1.09;0.98
30-12-2011;00:00:01;1.11;0.88
31-12-2011;00:00:01;1.17;1.44
01-01-2012;00:00:01;1.06;1.03
02-01-2012;00:00:01;0.98;0.87
03-01-2012;00:00:01;0.85;0.78
04-01-2012;00:00:01;0.87;0.83
05-01-2012;00:00:01;1.1;0.84
06-01-2012;00:00:01;0.87;0.84
07-01-2012;00:00:01;1.19;0.94
08-01-2012;00:00:01;1.38;0.89
09-01-2012;00:00:01;0.9;1.16
10-01-2012;00:00:01;0.85;0.87
11-01-2012;00:00:01;0.72;1.11
12-01-2012;00:00:01;0.88;0.73
13-01-2012;00:00:01;0.76;0.84
14-01-2012;00:00:01;1.4;0.95
15-01-2012;00:00:01;1.77;1.13
16-01-2012;00:00:01;0.92;1.24
17-01-2012;00:00:01;0.83;0.99
18-01-2012;00:00:01;0.98;0.88
19-01-2012;00:00:01;0.84;0.7
20-01-2012;00:00:01;0.88;0.92
21-01-2012;00:00:01;1.71;0.79
22-01-2012;00:00:01;1.09;1.18
23-01-2012;00:00:01;1.08;0.88
24-01-2012;00:00:01;0.75;1.08
25-01-2012;00:00:01;0.76;0.96
26-01-2012;00:00:01;1.02;0.68
27-01-2012;00:00:01;0.94;0.73
28-01-2012;00:00:01;1.57;0.67
29-01-2012;00:00:01;1.72;1.02
30-01-2012;00:00:01;1.07;1.43
31-01-2012;00:00:01;0.96;1.04
01-02-2012;00:00:01;1.46;0.53
02-02-2012;00:00:01;0.59;0.2
03-02-2012;00:00:01;0.76;0.2
04-02-2012;00:00:01;0.77;0.26
05-02-2012;00:00:01;0.69;0.24
06-02-2012;00:00:01;0.62;0.2
07-02-2012;00:00:01;0.6;0.2
08-02-2012;00:00:01;0.58;0.19
09-02-2012;00:00:01;0.61;0.2
10-02-2012;00:00:01;0.67;0.41
11-02-2012;00:00:01;1;0.42
12-02-2012;00:00:01;0.56;0.19
13-02-2012;00:00:01;0.58;0.19
14-02-2012;00:00:01;0.62;0.21
15-02-2012;00:00:01;0.49;0.2
16-02-2012;00:00:01;0.42;0.14
17-02-2012;00:00:01;0.43;0.14
18-02-2012;00:00:01;0.43;0.15
19-02-2012;00:00:01;0.44;0.14
20-02-2012;00:00:01;0.43;0.14
21-02-2012;00:00:01;2.87;0.64
22-02-2012;00:00:01;0.79;1.54
23-02-2012;00:00:01;0.94;0.84
24-02-2012;00:00:01;1.21;1.04
25-02-2012;00:00:01;1.94;0.85
26-02-2012;00:00:01;1.57;1.48
27-02-2012;00:00:01;1.14;1.33
28-02-2012;00:00:01;0.81;1.03
29-02-2012;00:00:01;0.86;0.82
01-03-2012;00:00:01;1.35;0.66
02-03-2012;00:00:01;0.77;0.74
03-03-2012;00:00:01;1.8;0.91
04-03-2012;00:00:01;1.36;1.51
05-03-2012;00:00:01;1;0.82
06-03-2012;00:00:01;0.9;0.69
07-03-2012;00:00:01;0.96;0.66
08-03-2012;00:00:01;1.03;0.81
09-03-2012;00:00:01;0.94;0.79
10-03-2012;00:00:01;1.09;0.95
11-03-2012;00:00:01;1.24;0.95
12-03-2012;00:00:01;1.05;1.21
13-03-2012;00:00:01;1.1;0.8
14-03-2012;00:00:01;0.99;0.68
15-03-2012;00:00:01;1.3;0.71
16-03-2012;00:00:01;1.01;0.97
17-03-2012;00:00:01;1.26;0.92
18-03-2012;00:00:01;1.77;0.97
19-03-2012;00:00:01;0.83;1.25
20-03-2012;00:00:01;0.78;0.75
21-03-2012;00:00:01;1.12;0.76
22-03-2012;00:00:01;0.87;0.67
23-03-2012;00:00:01;0.79;0.74
24-03-2012;00:00:01;1.21;1.01
25-03-2012;00:00:01;1.11;0.88
26-03-2012;00:00:01;0.84;0.88
27-03-2012;00:00:01;0.83;0.72
28-03-2012;00:00:01;0.93;0.85
29-03-2012;00:00:01;0.9;0.77
30-03-2012;00:00:01;0.85;0.7
31-03-2012;00:00:01;1.21;0.69
01-04-2012;00:00:01;0.85;0.94
02-04-2012;00:00:01;1.15;0.74
03-04-2012;00:00:01;0.86;0.7
04-04-2012;00:00:01;0.88;0.72
05-04-2012;00:00:01;1;0.77
06-04-2012;00:00:01;0.86;0.9
07-04-2012;00:00:01;1.08;1.05
08-04-2012;00:00:01;1.14;0.96
09-04-2012;00:00:01;1.74;0.72
10-04-2012;00:00:01;1.51;1.48
11-04-2012;00:00:01;1.01;1.01
12-04-2012;00:00:01;0.97;0.63
13-04-2012;00:00:01;0.86;0.73
14-04-2012;00:00:01;0.61;0.36
15-04-2012;00:00:01;1.46;0.35
16-04-2012;00:00:01;1.79;0.88
17-04-2012;00:00:01;0.88;0.78
18-04-2012;00:00:01;1.05;0.67
19-04-2012;00:00:01;1.07;0.74
20-04-2012;00:00:01;0.93;0.87
21-04-2012;00:00:01;0.77;0.64
